maneuver_id,time_since_start,drone_name,velocity_magnitude
20260129_010825,0.7006,crazyflie4,0.4993
20260129_010825,0.7047,crazyflie6,0.4993
20260129_010825,0.7105,crazyflie5,0.4984
20260129_010825,0.7106,crazyflie7,0.4994
20260129_010825,0.7107,crazyflie8,0.4992
20260129_010825,0.7178,crazyflie,0.4995
20260129_010825,0.7180,crazyflie2,0.4995
20260129_010825,0.7186,crazyflie3,0.4994
20260129_010825,0.7188,crazyflie10,0.3970
20260129_010825,0.7205,crazyflie9,0.1582
20260129_010825,0.7219,crazyflie4,0.4995
20260129_010825,0.7275,crazyflie6,0.4995
20260129_010825,0.7335,crazyflie5,0.4988
20260129_010825,0.7337,crazyflie7,0.4995
20260129_010825,0.7338,crazyflie8,0.4994
20260129_010825,0.7417,crazyflie,0.4996
20260129_010825,0.7421,crazyflie2,0.4996
20260129_010825,0.7423,crazyflie3,0.4996
20260129_010825,0.7424,crazyflie10,0.3814
20260129_010825,0.7443,crazyflie9,0.1192
20260129_010825,0.7461,crazyflie4,0.4996
20260129_010825,0.7511,crazyflie6,0.4996
20260129_010825,0.7561,crazyflie5,0.4991
20260129_010825,0.7562,crazyflie7,0.4996
20260129_010825,0.7563,crazyflie8,0.4996
20260129_010825,0.7642,crazyflie2,0.4997
20260129_010825,0.7649,crazyflie,0.4997
20260129_010825,0.7651,crazyflie3,0.4997
20260129_010825,0.7653,crazyflie10,0.3669
20260129_010825,0.7661,crazyflie9,0.1164
20260129_010825,0.7688,crazyflie4,0.4997
20260129_010825,0.7729,crazyflie6,0.4997
20260129_010825,0.7785,crazyflie7,0.4997
20260129_010825,0.7786,crazyflie8,0.4997
20260129_010825,0.7790,crazyflie5,0.4993
20260129_010825,0.7860,crazyflie2,0.4998
20260129_010825,0.7862,crazyflie3,0.4997
20260129_010825,0.7866,crazyflie,0.4998
20260129_010825,0.7867,crazyflie10,0.3552
20260129_010825,0.7878,crazyflie9,0.1383
20260129_010825,0.7898,crazyflie4,0.4998
20260129_010825,0.7945,crazyflie6,0.4998
20260129_010825,0.7997,crazyflie5,0.4994
20260129_010825,0.7999,crazyflie7,0.4998
20260129_010825,0.8001,crazyflie8,0.4997
20260129_010825,0.8080,crazyflie,0.4998
20260129_010825,0.8083,crazyflie3,0.4998
20260129_010825,0.8085,crazyflie10,0.3482
20260129_010825,0.8088,crazyflie2,0.4998
20260129_010825,0.8115,crazyflie9,0.1787
20260129_010825,0.8135,crazyflie4,0.4998
20260129_010825,0.8180,crazyflie6,0.4998
20260129_010825,0.8227,crazyflie5,0.4996
20260129_010825,0.8229,crazyflie7,0.4998
20260129_010825,0.8230,crazyflie8,0.4998
20260129_010825,0.8308,crazyflie,0.4999
20260129_010825,0.8310,crazyflie2,0.4999
20260129_010825,0.8311,crazyflie3,0.4999
20260129_010825,0.8316,crazyflie10,0.3438
20260129_010825,0.8325,crazyflie9,0.2289
20260129_010825,0.8357,crazyflie4,0.4999
20260129_010825,0.8395,crazyflie6,0.4999
20260129_010825,0.8459,crazyflie5,0.4997
20260129_010825,0.8461,crazyflie7,0.4999
20260129_010825,0.8462,crazyflie8,0.4998
20260129_010825,0.8527,crazyflie,0.4999
20260129_010825,0.8528,crazyflie3,0.4999
20260129_010825,0.8529,crazyflie10,0.3416
20260129_010825,0.8532,crazyflie2,0.4999
20260129_010825,0.8547,crazyflie9,0.2856
20260129_010825,0.8566,crazyflie4,0.4999
20260129_010825,0.8615,crazyflie6,0.4999
20260129_010825,0.8668,crazyflie5,0.4997
20260129_010825,0.8672,crazyflie8,0.4999
20260129_010825,0.8677,crazyflie7,0.4999
20260129_010825,0.8742,crazyflie,0.4999
20260129_010825,0.8745,crazyflie2,0.4999
20260129_010825,0.8747,crazyflie3,0.4999
20260129_010825,0.8749,crazyflie10,0.3409
20260129_010825,0.8771,crazyflie9,0.3354
20260129_010825,0.8790,crazyflie4,0.4999
20260129_010825,0.8838,crazyflie6,0.4999
20260129_010825,0.8890,crazyflie5,0.4998
20260129_010825,0.8892,crazyflie7,0.4999
